endereco_geo,lat,lon
"Rua Guaonés, Jardim Guedala, São Paulo, SP, Brasil",,
"Avenida Cidade Jardim, Itaim Bibi, São Paulo, SP, Brasil",-23.5820969,-46.6851901
"Rua Manuel Guedes, Jardim Europa, São Paulo, SP, Brasil",-23.5805493,-46.6801914
"Rua Jean Peltier, Cidade Monções, São Paulo, SP, Brasil",,
"Avenida Santo Amaro, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Avenida Giovanni Gronchi, Morumbi, São Paulo, SP, Brasil",-23.6092732,-46.7264387
"Alameda Joaquim Eugênio de Lima, Jardim Paulista, São Paulo, SP, Brasil",-23.5710111,-46.6556779
"Rua Tabajaras, Mooca, São Paulo, SP, Brasil",-23.5646737,-46.5999374
"Rua dos Pinheiros, Pinheiros, São Paulo, SP, Brasil",-23.5681518,-46.6903671
"Rua Dona Aurora Alegretti, Jardim Caravelas, São Paulo, SP, Brasil",,
"Avenida Vereador José Diniz, Santo Amaro, São Paulo, SP, Brasil",-23.6333433,-46.6902798
"Rua Ponta Delgada, Vila Olímpia, São Paulo, SP, Brasil",-23.599484,-46.6837623
"Avenida Lavandisca, Indianópolis, São Paulo, SP, Brasil",-23.6036102,-46.6632371
"Rua Piauí, Higienópolis, São Paulo, SP, Brasil",-23.5480064,-46.6530161
"Rua Passo da Pátria, Bela Aliança, São Paulo, SP, Brasil",-23.5286203,-46.7251743
"Alameda Itu, Jardim Paulista, São Paulo, SP, Brasil",-23.5666844,-46.6562973
"Rua Barão de Capanema, Cerqueira César, São Paulo, SP, Brasil",-23.5680314,-46.6653279
"Rua Ocrísia, City América, São Paulo, SP, Brasil",,
"Avenida Darcy Reis, Parque dos Príncipes, São Paulo, SP, Brasil",-23.574458,-46.7730718
"Travessa Suzano, Jardim Catanduva, São Paulo, SP, Brasil",,
"Viela Nova York, Cantinho do Céu, São Paulo, SP, Brasil",-23.743638,-46.6620281
"Avenida Presidente Juscelino Kubitschek, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Oscar Freire, Cerqueira César, São Paulo, SP, Brasil",-23.563954,-46.6680317
"Rua Marechal Bitencourt, Jardim Paulista, São Paulo, SP, Brasil",,
"Rua Joinville, Vila Mariana, São Paulo, SP, Brasil",,
"Rua dos Caciques, Vila da Saúde, São Paulo, SP, Brasil",,
"Rua Barata Ribeiro, Bela Vista, São Paulo, SP, Brasil",-23.5565217,-46.6533163
"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo, SP, Brasil",-23.5687662,-46.6500111
"Rua Abílio Soares, Paraíso, São Paulo, SP, Brasil",-23.5745404,-46.6455585
"Rua Sampaio Viana, Paraíso, São Paulo, SP, Brasil",-23.5741589,-46.6474085
"Rua Fradique Coutinho, Pinheiros, São Paulo, SP, Brasil",-23.5516588,-46.6943828
"Rua Forte Ernesto, Vila Carrão, São Paulo, SP, Brasil",-23.5545451,-46.5247869
"Rua Francisco Cruz, Vila Mariana, São Paulo, SP, Brasil",-23.5897567,-46.6297477
"Rua Batataes, Jardim Paulista, São Paulo, SP, Brasil",-23.5709376,-46.6566778
"Avenida Santo Amaro, Brooklin Paulista, São Paulo, SP, Brasil",,
"Rua Maratona, Vila Alexandria, São Paulo, SP, Brasil",-23.6425981,-46.6707776
"Rua Coronel Joaquim Ferreira Lobo, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua São Constâncio, Vila Mafra, São Paulo, SP, Brasil",,
"Alameda dos Guaramomis, Planalto Paulista, São Paulo, SP, Brasil",,
"Rua Kansas, Brooklin Paulista, São Paulo, SP, Brasil",,
"Alameda Fernão Cardim, Jardim Paulista, São Paulo, SP, Brasil",-23.5688932,-46.653201
"Rua Marechal Barbacena, Vila Regente Feijó, São Paulo, SP, Brasil",,
"Rua Adele, Jardim Dom Bosco, São Paulo, SP, Brasil",,
"Avenida Nova Independência, Brooklin Paulista, São Paulo, SP, Brasil",-23.600442,-46.6885746
"Rua Elvira Ferraz, Vila Olímpia, São Paulo, SP, Brasil",-23.5943995,-46.6796899
"Rua Doutor Guilherme Bannitz, Itaim Bibi, São Paulo, SP, Brasil",-23.5891661,-46.6731058
"Rua das Sempre-Vivas, Jardim das Acácias, São Paulo, SP, Brasil",,
"Rua Capote Valente, Pinheiros, São Paulo, SP, Brasil",-23.5507285,-46.6804231
"Alameda dos Jurupis, Indianópolis, São Paulo, SP, Brasil",-23.6129997,-46.6679828
"Rua Pintassilgo, Vila Uberabinha, São Paulo, SP, Brasil",,
"Rua Paim, Bela Vista, São Paulo, SP, Brasil",-23.5548182,-46.6490374
"Rua José Maria Lisboa, Jardim Paulista, São Paulo, SP, Brasil",-23.567608,-46.6585072
"Rua Funchal, Vila Olímpia, São Paulo, SP, Brasil",-23.5941962,-46.6899264
"Rua Visconde da Luz, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Luiz dos Santos Cabral, Jardim Anália Franco, São Paulo, SP, Brasil",-23.555648,-46.5618966
"Rua Araguari, Vila Uberabinha, São Paulo, SP, Brasil",,
"Rua Nova York, Brooklin Paulista, São Paulo, SP, Brasil",,
"Rua Carlos Weber, Vila Leopoldina, São Paulo, SP, Brasil",-23.5231108,-46.7336819
"Rua Piracuama, Perdizes, São Paulo, SP, Brasil",-23.5391653,-46.6819838
"Rua Quatá, Vila Olímpia, São Paulo, SP, Brasil",-23.5978781,-46.6786808
"Rua Franklin Magalhães, Vila Santa Catarina, São Paulo, SP, Brasil",-23.6523563,-46.6569696
"Rua Doutor Eduardo de Souza Aranha, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Campos Bicudo, Jardim Europa, São Paulo, SP, Brasil",,
"Rua Professor José Leite e Oiticica, Vila Gertrudes, São Paulo, SP, Brasil",,
"Avenida Armando Ferrentini, Paraíso, São Paulo, SP, Brasil",-23.5771036,-46.6365224
"Avenida Brigadeiro Luís Antônio, Bela Vista, São Paulo, SP, Brasil",-23.5620671,-46.6447527
"Rua Fagundes Dias, Saúde, São Paulo, SP, Brasil",-23.617312,-46.6401157
"Rua Inhambú, Vila Uberabinha, São Paulo, SP, Brasil",,
"Rua Doutor Diogo de Faria, Vila Clementino, São Paulo, SP, Brasil",-23.5955624,-46.6455736
"Rua Luís Coelho, Consolação, São Paulo, SP, Brasil",-23.556641,-46.6593079
"Rua Bragança Paulista, Vila Cruzeiro, São Paulo, SP, Brasil",-22.9390292,-46.5495679
"Rua Marina Ciufuli Zanfelice, Lapa, São Paulo, SP, Brasil",-23.5128377,-46.7049644
"Rua Conde de Porto Alegre, Campo Belo, São Paulo, SP, Brasil",-23.622107,-46.6735635
"Rua Jaguaribe, Vila Buarque, São Paulo, SP, Brasil",,
"Rua Agostinho Rodrigues Filho, Vila Clementino, São Paulo, SP, Brasil",,
