preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 70.000,R$ 6.600,R$ 75.000,Rua Arataca,"Casa de condomínio para alugar com 980 m², 5 quartos, 8 banheiros, 6 vagas emChácara Monte Alegre, São Paulo",5.0,8,980.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-chacara-monte-alegre-sao-paulo-980m2-id-2763318967/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:00:43
R$ 3.500,R$ 651,R$ 73,Rua Augusta,"Imóvel para alugar com 23 m², 1 quarto, 1 banheiro emCerqueira César, São Paulo",1.0,1,23.0,https://www.zapimoveis.com.br/imovel/venda-studio-1-quarto-mobiliado-cerqueira-cesar-sao-paulo-23m2-id-2736631940/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:00:43
R$ 95.000,R$ 4.000,R$ 3.800,Rua Cândido Lacerda,"Cobertura para alugar com 466 m², 4 quartos, 7 banheiros, 7 vagas emVila Regente Feijó, São Paulo",4.0,7,466.0,https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-mobiliado-vila-regente-feijo-sao-paulo-466m2-id-2726427933/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:00:43
R$ 55.000,R$ 9.931,R$ 4.132,Rua Deputado Laércio Corte,"Apartamento para alugar com 607 m², 4 quartos, 7 banheiros, 5 vagas emParaíso do Morumbi, São Paulo",4.0,7,607.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-piscina-paraiso-do-morumbi-sao-paulo-607m2-id-2540461726/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:00:43
R$ 1.866,,R$ 60,Rua Tobias Barreto,"Apartamento para alugar com 30 m², 1 quarto, 1 banheiro emAlto da Mooca, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-alto-da-mooca-zona-leste-sao-paulo-sp-30m2-id-2866183908/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 18.000,R$ 3.800,R$ 2.375,Rua Doutor Homem de Melo,"Apartamento para alugar com 250 m², 3 quartos, 6 banheiros, 4 vagas emPerdizes, São Paulo",3.0,6,250.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-perdizes-zona-oeste-sao-paulo-sp-250m2-id-2841911619/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 2.800,R$ 450,R$ 211,Avenida Mascote,"Apartamento para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emVila Mascote, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-vila-mascote-sao-paulo-42m2-id-2874949482/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.150,,R$ 15,Rua Volter Wolthers,"Apartamento para alugar com 38 m², 1 quarto, 1 banheiro emVila Maria Alta, São Paulo",1.0,1,38.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-maria-alta-sao-paulo-38m2-id-2874955882/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 12.500,R$ 1.400,R$ 850,Rua Estevão Baião,"Apartamento para alugar com 123 m², 2 quartos, 4 banheiros, 2 vagas emVila Congonhas, São Paulo",2.0,4,123.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-congonhas-sao-paulo-123m2-id-2874969715/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.750,R$ 424,,Rua Deputado Lacerda Franco,"Kitnet/Conjugado para alugar com 32 m², 1 quarto, 1 banheiro emPinheiros, São Paulo",1.0,1,32.0,https://www.zapimoveis.com.br/imovel/aluguel-quitinete-1-quarto-com-porcelanato-pinheiros-sao-paulo-32m2-id-2875008497/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.900,R$ 651,R$ 164,Rua Alexandre Levi,"Apartamento para alugar com 50 m², 2 quartos, 1 banheiro, 1 vaga emCambuci, São Paulo",2.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-cambuci-sao-paulo-50m2-id-2543340045/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 3.400,R$ 1.800,R$ 200,Rua Antônio Comparato,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emCampo Belo, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-campo-belo-sao-paulo-40m2-id-2874965930/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 68.000,R$ 7.481,R$ 3.606,Rua das Fiandeiras,"Apartamento para alugar com 275 m², 3 quartos, 4 banheiros, 5 vagas emVila Olímpia, São Paulo",3.0,4,275.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-vila-olimpia-sao-paulo-275m2-id-2874885114/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 2.100,R$ 700,R$ 140,Rua Cipriano Barata,"Apartamento para alugar com 54 m², 2 quartos, 1 banheiro, 1 vaga emIpiranga, São Paulo",2.0,1,54.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-ipiranga-sao-paulo-54m2-id-2875009406/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 16.113,R$ 2.265,R$ 1.020,Alameda Itu,"Apartamento para alugar com 104 m², 2 quartos, 2 banheiros, 2 vagas emJardim Paulista, São Paulo",2.0,2,104.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-jardim-paulista-sao-paulo-104m2-id-2836011314/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.050,,,Rua Doutor José Pinto Azeredo,"Casa para alugar com 18 m², 1 quarto, 1 banheiro emVila Universitária, São Paulo",1.0,1,18.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-1-quarto-vila-universitaria-sao-paulo-18m2-id-2875011173/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 5.000,R$ 854,R$ 85,Avenida Mofarrej,"Apartamento para alugar com 70 m², 1 quarto, 2 banheiros, 1 vaga emVila Leopoldina, São Paulo",1.0,2,70.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-vila-leopoldina-sao-paulo-70m2-id-2874883478/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 5.000,R$ 1.570,R$ 505,Avenida Damasceno Vieira,"Apartamento para alugar com 90 m², 3 quartos, 2 banheiros, 2 vagas emVila Mascote, São Paulo",3.0,2,90.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-vila-mascote-sao-paulo-90m2-id-2874946607/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 5.800,,R$ 560,Rua João Ramalho,"Sobrado para alugar com 110 m², 3 quartos, 2 banheiros, 1 vaga emPerdizes, São Paulo",3.0,2,110.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-3-quartos-perdizes-sao-paulo-110m2-id-2874844395/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 10.000,R$ 1.890,R$ 450,Rua Leopoldo Couto Magalhães Júnior,"Apartamento para alugar com 64 m², 1 quarto, 2 banheiros, 1 vaga emItaim Bibi, São Paulo",1.0,2,64.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-itaim-bibi-sao-paulo-64m2-id-2581994423/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 4.100,,R$ 521,Rua Aparaju,"Sobrado para alugar com 164 m², 2 quartos, 4 banheiros, 5 vagas emParque da Mooca, São Paulo",2.0,4,164.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-2-quartos-com-quintal-parque-da-mooca-sao-paulo-164m2-id-2874831989/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.650,R$ 355,,Avenida Miguel Yunes,"Apartamento para alugar com 48 m², 2 quartos, 1 banheiro emUsina Piratininga, São Paulo",2.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-churrasqueira-usina-piratininga-sao-paulo-48m2-id-2874923255/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.650,R$ 574,R$ 31,Rua Floresto Bandecchi,"Apartamento para alugar com 48 m², 2 quartos, 1 banheiro, 1 vaga emJaguaré, São Paulo",2.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-jaguare-sao-paulo-48m2-id-2874882184/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 3.800,R$ 704,R$ 200,Rua Fortunato Ferraz,"Apartamento para alugar com 55 m², 2 quartos, 2 banheiros, 1 vaga emVila Anastácio, São Paulo",2.0,2,55.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-vila-anastacio-sao-paulo-55m2-id-2874933850/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 8.250,R$ 1.900,R$ 791,Rua Barão de Capanema,"Apartamento para alugar com 100 m², 2 quartos, 3 banheiros, 2 vagas emCerqueira César, São Paulo",2.0,3,100.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-cerqueira-cesar-sao-paulo-100m2-id-2874855076/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 1.230,R$ 30,,,"Kitnet/Conjugado para alugar com 30 m², 1 quarto, 1 banheiro emVila Esperança, São Paulo",1.0,1,30.0,https://www.zapimoveis.com.br/imovel/aluguel-quitinete-1-quarto-com-lavanderia-coletiva-vila-esperanca-sao-paulo-30m2-id-2874882399/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 7.500,R$ 2.300,R$ 480,Rua José Maria Lisboa,"Apartamento para alugar com 160 m², 2 quartos, 2 banheiros, 1 vaga emJardim Paulista, São Paulo",2.0,2,160.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-jardim-paulista-sao-paulo-160m2-id-2874853687/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 3.950,R$ 390,R$ 124,Rua Doutor Fadlo Haidar,"Apartamento para alugar com 24 m², 1 quarto, 1 banheiro emVila Olímpia, São Paulo",1.0,1,24.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-vila-olimpia-sao-paulo-24m2-id-2874986201/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 3.000,R$ 1.188,R$ 56,Rua Doutor Fausto Ferraz,"Apartamento para alugar com 82 m², 2 quartos, 1 banheiro, 1 vaga emBela Vista, São Paulo",2.0,1,82.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-bela-vista-sao-paulo-82m2-id-2874829681/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 3.000,,R$ 135,Avenida Rubens Montanaro de Borba,"Sobrado para alugar com 90 m², 2 quartos, 2 banheiros, 2 vagas emJardim Regis, São Paulo",2.0,2,90.0,https://www.zapimoveis.com.br/imovel/aluguel-sobrados-2-quartos-com-cozinha-jardim-regis-sao-paulo-90m2-id-2874883420/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:07
R$ 5.500,R$ 519,R$ 437,Rua Antônio Carlos,"Apartamento para alugar com 60 m², 2 quartos, 1 banheiro, 1 vaga emConsolação, São Paulo",2.0,1,60.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-consolacao-centro-sao-paulo-sp-60m2-id-2869865484/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 5.800,R$ 1.150,R$ 429,Avenida Giovanni Gronchi,"Apartamento para alugar com 96 m², 3 quartos, 3 banheiros, 2 vagas emVila Andrade, São Paulo",3.0,3,96.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-vila-andrade-zona-sul-sao-paulo-sp-96m2-id-2874597748/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 21.000,R$ 4.000,R$ 22.000,Rua Quatá,"Apartamento para alugar com 153 m², 2 quartos, 2 banheiros, 3 vagas emVila Olímpia, São Paulo",2.0,2,153.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-olimpia-zona-sul-sao-paulo-sp-153m2-id-2823833247/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 2.500,R$ 1.100,R$ 81,Rua Correia de Lemos,"Apartamento para alugar com 50 m², 2 quartos, 1 banheiro, 1 vaga emChácara Inglesa, São Paulo",2.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-chacara-inglesa-sao-paulo-50m2-id-2827567118/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 15.000,R$ 1.500,R$ 1.047,Rua Santo Arcádio,"Apartamento para alugar com 145 m², 3 quartos, 5 banheiros, 2 vagas emJardim das Acácias, São Paulo",3.0,5,145.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-piscina-jardim-das-acacias-sao-paulo-145m2-id-2874933388/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 6.300,,R$ 480,Rua Cristiano Viana,"Casa de Vila para alugar com 160 m², 3 quartos, 2 banheiros, 2 vagas emCerqueira César, São Paulo",3.0,2,160.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-de-vila-3-quartos-com-sala-de-jantar-cerqueira-cesar-sao-paulo-160m2-id-2874819819/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.400,R$ 1.800,R$ 200,Rua Antônio Comparato,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emCampo Belo, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-campo-belo-sao-paulo-40m2-id-2874967286/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 6.210,R$ 2.000,R$ 300,Rua Urussuí,"Flat para alugar com 64 m², 2 quartos, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",2.0,1,64.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-itaim-bibi-sao-paulo-64m2-id-2874869677/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 2.900,R$ 1.400,R$ 200,Rua Pedroso Alvarenga,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-40m2-id-2874942209/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 2.900,R$ 1.400,R$ 200,Rua Pedroso Alvarenga,"Flat para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,40.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-40m2-id-2874944922/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 1.800,R$ 1.400,R$ 200,Rua Augusta,"Flat para alugar com 26 m², 1 quarto, 1 banheiro, 1 vaga emConsolação, São Paulo",1.0,1,26.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-consolacao-sao-paulo-26m2-id-2874941090/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 1.400,R$ 253,R$ 82,,"Apartamento para alugar com 43 m², 2 quartos, 1 banheiro emVila Santa Teresa (Zona Leste), São Paulo",2.0,1,43.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-vila-santa-teresa-zona-leste-sao-paulo-43m2-id-2874883573/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 5.000,,R$ 679,Rua Massaranduba,"Casa para alugar com 199 m², 2 quartos, 3 banheiros, 3 vagas emVila Monte Alegre, São Paulo",2.0,3,199.0,https://www.zapimoveis.com.br/imovel/aluguel-casa-2-quartos-com-piscina-vila-monte-alegre-sao-paulo-199m2-id-2874844581/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.500,R$ 1.450,R$ 40,Rua Harmonia,"Apartamento para alugar com 26 m², 1 quarto, 1 banheiro emSumarezinho, São Paulo",1.0,1,26.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-piscina-sumarezinho-sao-paulo-26m2-id-2874864188/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.123,R$ 2.021,R$ 356,Rua Joinville,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emVila Mariana, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-mariana-sao-paulo-42m2-id-2836932220/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.200,R$ 1.500,R$ 549,Rua Serra do Japi,"Apartamento para alugar com 106 m², 3 quartos, 2 banheiros, 2 vagas emVila Gomes Cardim, São Paulo",3.0,2,106.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-com-cozinha-vila-gomes-cardim-sao-paulo-106m2-id-2875008778/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 6.500,R$ 1.340,R$ 670,Rua Serra de Bragança,"Apartamento para alugar com 126 m², 4 quartos, 5 banheiros, 3 vagas emVila Gomes Cardim, São Paulo",4.0,5,126.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-piscina-vila-gomes-cardim-sao-paulo-126m2-id-2868775673/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 7.150,R$ 1.360,R$ 53,Rua Gomes de Carvalho,"Apartamento para alugar com 76 m², 2 quartos, 2 banheiros, 1 vaga emVila Olímpia, São Paulo",2.0,2,76.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-olimpia-sao-paulo-76m2-id-2817565520/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 1.500,R$ 400,,Rua Indaiá Grande,"Apartamento para alugar com 33 m², 2 quartos, 1 banheiro emFazenda Aricanduva, São Paulo",2.0,1,33.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-fazenda-aricanduva-sao-paulo-33m2-id-2874790243/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 4.500,R$ 869,R$ 225,Alameda Casa Branca,"Apartamento para alugar com 44 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,44.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-jardim-paulista-sao-paulo-44m2-id-2874966880/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 5.400,R$ 1.218,R$ 292,Rua Antônio de Macedo Soares,"Apartamento para alugar com 71 m², 2 quartos, 2 banheiros, 2 vagas emCampo Belo, São Paulo",2.0,2,71.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-campo-belo-sao-paulo-71m2-id-2874566106/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.690,R$ 588,R$ 278,Rua Bueno de Andrade,"Apartamento para alugar com 56 m², 2 quartos, 2 banheiros, 1 vaga emAclimação, São Paulo",2.0,2,56.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-aclimacao-sao-paulo-56m2-id-2874909200/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 2.300,R$ 1.350,R$ 350,Rua Batataes,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-42m2-id-2874866551/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 1.800,R$ 800,R$ 200,Avenida Rio Branco,"Flat para alugar com 32 m², 1 quarto, 1 banheiro, 1 vaga emCampos Elíseos, São Paulo",1.0,1,32.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-campos-eliseos-sao-paulo-32m2-id-2874869077/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 1.700,R$ 277,,Rua Domingos Paiva,"Apartamento para alugar com 32 m², 1 quarto, 1 banheiro, 1 vaga emBrás, São Paulo",1.0,1,32.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-bras-sao-paulo-32m2-id-2875002909/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 5.505,R$ 1.930,R$ 225,Rua Professor José Leite e Oiticica,"Apartamento para alugar com 68 m², 2 quartos, 2 banheiros, 2 vagas emVila Gertrudes, São Paulo",2.0,2,68.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-gertrudes-sao-paulo-68m2-id-2874849625/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 4.310,R$ 1.400,R$ 290,Rua Sansão Alves dos Santos,"Apartamento para alugar com 43 m², 2 quartos, 1 banheiro, 1 vaga emCidade Monções, São Paulo",2.0,1,43.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-cidade-moncoes-sao-paulo-43m2-id-2874852692/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.259,R$ 1.816,R$ 425,Avenida Jamaris,"Apartamento para alugar com 37 m², 1 quarto, 1 banheiro, 1 vaga emPlanalto Paulista, São Paulo",1.0,1,37.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-mobiliado-planalto-paulista-sao-paulo-37m2-id-2874853901/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 3.400,R$ 640,,Rua José da Silva Ribeiro,"Apartamento para alugar com 67 m², 2 quartos, 2 banheiros, 1 vaga emVila Andrade, São Paulo",2.0,2,67.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-andrade-sao-paulo-67m2-id-2874644407/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:31
R$ 18.000,R$ 2.000,R$ 880,Rua Doutor Paschoal Imperatriz,"Apartamento para alugar com 132 m², 3 quartos, 4 banheiros, 3 vagas emVila Gertrudes, São Paulo",3.0,4,132.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-brooklin-zona-sul-sao-paulo-sp-132m2-id-2872447473/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 4.900,,R$ 565,Rua Gaspar Afonso,"Casa para alugar com 130 m², 4 quartos, 3 banheiros, 3 vagas emAlto da Mooca, São Paulo",4.0,3,130.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-deposito-privativo-alto-da-mooca-zona-leste-sao-paulo-sp-130m2-id-2830833123/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 1.650,,,Rua Duarte de Azevedo,"Apartamento para alugar com 64 m², 1 quarto, 1 banheiro emSantana, São Paulo",1.0,1,64.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-santana-sao-paulo-64m2-id-2874912340/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 4.500,R$ 2.100,R$ 400,Avenida Miruna,"Apartamento para alugar com 60 m², 2 quartos, 1 banheiro, 1 vaga emIndianópolis, São Paulo",2.0,1,60.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-indianopolis-sao-paulo-60m2-id-2874851485/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 6.300,R$ 1.203,R$ 340,Rua Girassol,"Apartamento para alugar com 80 m², 3 quartos, 2 banheiros, 2 vagas emVila Madalena, São Paulo",3.0,2,80.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-3-quartos-mobiliado-vila-madalena-sao-paulo-80m2-id-2874893274/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 5.600,R$ 2.440,R$ 376,Rua Tabapuã,"Apartamento para alugar com 134 m², 3 quartos, 3 banheiros, 1 vaga emItaim Bibi, São Paulo",3.0,3,134.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-lavabo-itaim-bibi-sao-paulo-134m2-id-2698196976/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 4.900,R$ 1.207,R$ 266,Rua Manuel da Nóbrega,"Apartamento para alugar com 42 m², 1 quarto, 2 banheiros, 1 vaga emParaíso, São Paulo",1.0,2,42.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-paraiso-sao-paulo-42m2-id-2851282124/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 1.950,,,Rua Pretória,"Apartamento para alugar com 36 m², 2 quartos, 1 banheiro emVila Formosa, São Paulo",2.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-interfone-vila-formosa-sao-paulo-36m2-id-2874843599/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 1.200,R$ 380,,Rua Manuel Ribas,"Apartamento para alugar com 24 m², 1 quarto, 1 banheiro emVila Campanela, São Paulo",1.0,1,24.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-vila-campanela-sao-paulo-24m2-id-2874996984/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 15.000,,R$ 1.857,Rua Michigan,"Casa para alugar com 237 m², 2 quartos, 2 banheiros, 4 vagas emCidade Monções, São Paulo",2.0,2,237.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-cidade-moncoes-sao-paulo-237m2-id-2839190622/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 2.375,R$ 1.050,R$ 275,Rua Batataes,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-com-piscina-jardim-paulista-sao-paulo-42m2-id-2874845083/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 13.000,R$ 2.271,R$ 2.373,Rua Barão de Capanema,"Apartamento para alugar com 110 m², 2 quartos, 2 banheiros, 2 vagas emCerqueira César, São Paulo",2.0,2,110.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-mobiliado-cerqueira-cesar-sao-paulo-110m2-id-2873270148/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
R$ 29.000,R$ 5.500,R$ 2.123,Rua Doutor Renato Paes de Barros,"Apartamento para alugar com 210 m², 3 quartos, 5 banheiros, 3 vagas emItaim Bibi, São Paulo",3.0,5,210.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-itaim-bibi-sao-paulo-210m2-id-2874888973/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 18:01:57
