preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 14.890,R$ 2.460,R$ 650,Rua Elvira Ferraz,"Flat para alugar com 65 m², 1 quarto, 1 banheiro, 2 vagas emVila Olímpia, São Paulo",1.0,1,65.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-olimpia-sao-paulo-65m2-id-2853838679/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 13.000,R$ 2.164,R$ 994,Rua Jacques Félix,"Apartamento para alugar com 116 m², 2 quartos, 1 banheiro, 2 vagas emVila Nova Conceição, São Paulo",2.0,1,116.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-vila-nova-conceicao-sao-paulo-116m2-id-2853840351/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 22.500,R$ 2.900,R$ 500,Avenida Marginal do Rio Pinheiros,"Apartamento para alugar com 142 m², 2 quartos, 4 banheiros, 3 vagas emJardim Fonte do Morumbi, São Paulo",2.0,4,142.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-jardim-fonte-do-morumbi-sao-paulo-142m2-id-2834872820/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 2.700,R$ 1.600,R$ 200,Avenida Ibijaú,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emMoema, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-moema-sao-paulo-45m2-id-2843143458/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 21.000,R$ 2.992,R$ 1.092,Rua Jesuíno Arruda,"Apartamento para alugar com 163 m², 2 quartos, 4 banheiros, 2 vagas emItaim Bibi, São Paulo",2.0,4,163.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-itaim-bibi-sao-paulo-163m2-id-2872863886/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 3.200,R$ 2.100,R$ 500,Rua Brás Cardoso,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-42m2-id-2853475561/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 2.220,R$ 1.580,R$ 200,Avenida Brigadeiro Luís Antônio,"Flat para alugar com 36 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,36.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-36m2-id-2853404942/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 3.600,R$ 2.300,R$ 200,Alameda Campinas,"Flat para alugar com 50 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-50m2-id-2858457062/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 2.610,R$ 1.250,R$ 240,Rua Barata Ribeiro,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-bela-vista-sao-paulo-35m2-id-2696217582/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
R$ 3.305,R$ 1.800,R$ 395,Alameda Jaú,"Flat para alugar com 38 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,38.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-38m2-id-2853839480/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 17:04:51
