endereco_geo,lat,lon
"Avenida Rocha Pombo, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.081807,-50.1528341
"Rua Barão de Teffe, Centro, Ponta Grossa, PR, Brasil",-25.0917521,-50.1678075
"Rua Aprizio Moletta, Cará-cará, Ponta Grossa, PR, Brasil",,
"Rua Professor Ivon Zardo, Estrela, Ponta Grossa, PR, Brasil",-25.1116361,-50.1692558
"Rua Lagoa Azul, Oficinas, Ponta Grossa, PR, Brasil",-25.1205237,-50.1430455
"Rua Ermelino de Leão, Olarias, Ponta Grossa, PR, Brasil",-25.0987681,-50.1550615
"Rua Francisco Otaviano, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0837028,-50.1812546
"Avenida Senador Flávio Carvalho Guimarães, Boa Vista, Ponta Grossa, PR, Brasil",-25.0682956,-50.1820799
"Rua Francisco Martins de Araújo, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0668991,-50.1379549
"Rua Antonina Szathowski, Piriquitos, Ponta Grossa, PR, Brasil",-25.047993,-50.2358072
"Rua Joanna Gorte, Uvaranas, Ponta Grossa, PR, Brasil",,
"Rua Padre Nóbrega, Estrela, Ponta Grossa, PR, Brasil",-25.1092113,-50.1647146
"Rua Augusto Ribas, Centro, Ponta Grossa, PR, Brasil",-25.1010977,-50.1590437
"Praça Barão do Rio Branco, Centro, Ponta Grossa, PR, Brasil",-25.0936757,-50.1599262
"Rua Senador Pinheiro Machado, Centro, Ponta Grossa, PR, Brasil",-25.0913151,-50.1601522
"Rua Marquês de Olinda, Orfãs, Ponta Grossa, PR, Brasil",-25.0797355,-50.1700287
"Rua Tenente Hinon Silva, Centro, Ponta Grossa, PR, Brasil",-25.0924223,-50.153856
"Rua Marechal Deodoro da Fonseca, Centro, Ponta Grossa, PR, Brasil",-25.0974183,-50.160586
"Rua Tomazina, Uvaranas, Ponta Grossa, PR, Brasil",-25.0992536,-50.137146
"Rua Amazonas, Estrela, Ponta Grossa, PR, Brasil",-25.1062688,-50.1626701
"Avenida Bonifácio Vilela, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0740156,-50.1565916
"Estrada João Henrique Van Wilpe, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0460216,-50.1365931
"Rua Adjaniro Cardon, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0824629,-50.1560831
"Rua José Salles Rosa, Cará-cará, Ponta Grossa, PR, Brasil",-25.1072815,-50.1127851
"Rua Orlando Stella, Neves, Ponta Grossa, PR, Brasil",-25.0699113,-50.1306422
"Rua Sete de Setembro, Centro, Ponta Grossa, PR, Brasil",-25.0875805,-50.1593172
"Rua Conselheiro Barradas, Uvaranas, Ponta Grossa, PR, Brasil",-25.0916981,-50.1492904
"Rua Miguel Couto, Orfãs, Ponta Grossa, PR, Brasil",-25.0806529,-50.1687614
"Rua Paulo Frontin, Orfãs, Ponta Grossa, PR, Brasil",-25.0687799,-50.1595593
"Rua Júlio de Castilho, Centro, Ponta Grossa, PR, Brasil",-25.0887711,-50.1657887
