preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
430000.0,Rua Miguel Schimanski,"Sobrado para comprar com 90 m², 3 quartos, 3 banheiros, 1 vaga emRonda, Ponta Grossa",3.0,3.0,90.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-churrasqueira-ronda-ponta-grossa-90m2-id-2704242230/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Ronda,Sobrado,4777.777777777777,"Ronda, Ponta Grossa, PR, Brasil",,,falhou
230000.0,Rua Antônio Saad,"Casa para comprar com 48 m², 2 quartos, 2 banheiros emBoa Vista, Ponta Grossa",2.0,2.0,48.0,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-boa-vista-ponta-grossa-48m2-id-2753383011/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,,Boa Vista,Casa,4791.666666666667,"Rua Antônio Saad, Boa Vista, Ponta Grossa, PR, Brasil",-25.0539705,-50.1513379,rua_bairro
250000.0,Rua Professora Terezinha Choma Arcaten,"Sobrado para comprar com 65 m², 2 quartos, 1 banheiro, 1 vaga emCará-cará, Ponta Grossa",2.0,1.0,65.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-cara-cara-ponta-grossa-65m2-id-2725005322/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Cará-cará,Sobrado,3846.153846153846,"Cará-cará, Ponta Grossa, PR, Brasil",,,falhou
573000.0,Rua Theodoro Rosas,"Lote/Terreno para comprar com 832 m² emCentro, Ponta Grossa",,,832.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-centro-ponta-grossa-832m2-id-2621392794/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,,Centro,Lote/Terreno,688.7019230769231,"Rua Theodoro Rosas, Centro, Ponta Grossa, PR, Brasil",-25.091005,-50.1599608,rua_bairro
300000.0,,"Casa para comprar com 110 m², 4 quartos, 2 banheiros, 2 vagas emColônia Dona Luíza, Ponta Grossa",4.0,2.0,110.0,https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-churrasqueira-colonia-dona-luiza-ponta-grossa-110m2-id-2831125514/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Colônia Dona Luíza,Casa,2727.2727272727275,,34.220389,70.3800314,bairro
550000.0,,"Apartamento para comprar com 124 m², 3 quartos, 2 banheiros, 1 vaga emCentro, Ponta Grossa",3.0,2.0,124.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-centro-ponta-grossa-124m2-id-2797389917/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Centro,Apartamento,4435.4838709677415,,34.220389,70.3800314,bairro
210000.0,,"Apartamento para comprar com 50 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-uvaranas-ponta-grossa-50m2-id-2797388532/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Uvaranas,Apartamento,4200.0,,34.220389,70.3800314,bairro
2495000.0,,"Casa para comprar com 693 m², 3 quartos, 3 banheiros, 3 vagas emOficinas, Ponta Grossa",3.0,3.0,693.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-oficinas-ponta-grossa-693m2-id-2856085132/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,3.0,Oficinas,Casa,3600.2886002886003,,34.220389,70.3800314,bairro
160000.0,Rua Jacob Faintyck,"Apartamento para comprar com 48 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,48.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-uvaranas-ponta-grossa-48m2-id-2683833530/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Uvaranas,Apartamento,3333.3333333333335,"Uvaranas, Ponta Grossa, PR, Brasil",,,falhou
500000.0,,"Casa para comprar com 90 m², 3 quartos, 2 banheiros, 2 vagas emPonta Grossa",3.0,2.0,90.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-ponta-grossa-90m2-id-2684282033/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Ponta Grossa,Casa,5555.555555555556,,34.220389,70.3800314,bairro
