geometry,leisure,name,addr:street,tourism,landuse,addr:city,addr:suburb,start_date,description,addr:housenumber,addr:postcode,opening_hours,operator,source,alt_name,grass,natural,surface,type
POINT (-50.1548495 -25.054726),garden,Jardim de Entrada,,,,,,,,,,,,,,,,,
POINT (-50.2056677 -25.092583),park,Pracinha da Associação,Rua Eugênia,,,,,,,,,,,,,,,,
"POLYGON ((-50.1586728 -25.1037644, -50.1586584 -25.1038081, -50.1586239 -25.1038537, -50.1585867 -25.1038792, -50.1585501 -25.1038898, -50.1586926 -25.1040534, -50.1587811 -25.1041876, -50.1588924 -25.1043953, -50.158931 -25.1045191, -50.1591556 -25.1054837, -50.1593169 -25.1061489, -50.1593424 -25.1061519, -50.1593886 -25.1059819, -50.1594168 -25.1057196, -50.1593672 -25.1054646, -50.1593281 -25.1053036, -50.159279 -25.1050853, -50.1592046 -25.1048395, -50.1591552 -25.1046782, -50.1590084 -25.1042093, -50.1588542 -25.103986, -50.1587476 -25.10385, -50.1586728 -25.1037644))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1571137 -25.1077529, -50.157072 -25.1078499, -50.1570898 -25.1080504, -50.157158 -25.1081443, -50.1572141 -25.1082045, -50.1558837 -25.1088236, -50.1552171 -25.1091533, -50.1545875 -25.1095625, -50.1541013 -25.1101509, -50.1535407 -25.110871, -50.1530747 -25.110599, -50.1532504 -25.109993, -50.1537681 -25.1091138, -50.1544775 -25.1086068, -50.1551816 -25.1084022, -50.1571137 -25.1077529))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.132287 -25.0717769, -50.1323164 -25.071818, -50.1322943 -25.071887, -50.132242 -25.0719831, -50.1322172 -25.0720491, -50.1321935 -25.0720957, -50.1321794 -25.072126, -50.1321373 -25.0721162, -50.131997 -25.072022, -50.1318767 -25.07192, -50.131917 -25.0718972, -50.132287 -25.0717769))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1533661 -25.0913347, -50.1525292 -25.0912521, -50.1525147 -25.0912728, -50.1525102 -25.0912985, -50.1533216 -25.0915158, -50.1533661 -25.0913347))",park,Praça Duque de Caxias,,,,,,,,,,,,,,,,,
"POLYGON ((-50.162632 -25.0542112, -50.1623047 -25.054114, -50.1624657 -25.0548357, -50.162632 -25.0542112))",park,Pracinha do Triângulo,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1630434 -25.0988317, -50.1633496 -25.0990281, -50.1635358 -25.0991508, -50.1635872 -25.0995762, -50.1636671 -25.099661, -50.1634921 -25.1001098, -50.1633589 -25.1005017, -50.1633334 -25.1006966, -50.163082 -25.1007228, -50.1630759 -25.1005016, -50.1630564 -25.0997912, -50.1630434 -25.0988317))",park,Praça do Pôr do Sol,Rua Visconde de Nacar,,,Ponta Grossa,Centro,09/05/2018,,,,,,,,,,,
"POLYGON ((-50.146113 -25.076209, -50.1460837 -25.0761819, -50.1453607 -25.0755124, -50.1448752 -25.0759424, -50.1456463 -25.0766457, -50.146113 -25.076209))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1526516 -25.0767016, -50.1527837 -25.0768704, -50.1529279 -25.0770611, -50.1531854 -25.0774037, -50.1528963 -25.0775889, -50.1527039 -25.0776995, -50.1520065 -25.0781234, -50.1515003 -25.0774189, -50.1520079 -25.0770885, -50.152325 -25.0768874, -50.1525389 -25.0767599, -50.1526516 -25.0767016))",park,Praça Dom Antnio Mazzaroto,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1152054 -25.0705564, -50.115113 -25.0705313, -50.1152532 -25.0702425, -50.1157631 -25.0704141, -50.1156599 -25.070696, -50.1152054 -25.0705564))",park,Praça e antiga pista de skate,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1191722 -25.0715624, -50.1191156 -25.0717034, -50.1187634 -25.0716041, -50.1188519 -25.0713733, -50.1191846 -25.0715175, -50.1191722 -25.0715624))",park,praça municipal e centro esportivo,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1201332 -25.0719394, -50.1200305 -25.072087, -50.1196727 -25.0719043, -50.1197266 -25.0717571, -50.1201332 -25.0719394))",park,Praça e parque de lazer Nucleo pitangui e Rio Verde,,,,,,,,,,,,,,,,,
