geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.6537991 -23.5634821),Metro Trianon MASP,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,Avenida Paulista,,,,,,,,,,1274,,,,,,,,,,,,,Mo-Fr 06:00-20:30; Sa-Su 10:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6536861 -23.5639287),Metro Trianon MASP,,subway_entrance,,,,,,,,,,,no,,,,,,,,,,Avenida Paulista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6544743 -23.5629177),Metro Trianon Masp,,subway_entrance,,,,,,,,,,,,,,,,,,,,,Avenida Paulista,,,,,,,,,,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6478837 -23.5682841),Metro Brigadeiro,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Paulista,Jardim Paulista,,,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6473 -23.5691284),Metro Brigadeiro,,subway_entrance,,,,,,,,,,,no,,,,,,,,,São Paulo,Avenida Paulista,Jardim Paulista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6471077 -23.5688898),Metro Brigadeiro,,subway_entrance,,,,,,,,,,,no,,,,,,,,,São Paulo,Avenida Paulista,Jardim Paulista,,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6720142 -23.5554995),Metrô Clínicas - Linha Verde,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6335305 -23.538065),Estação da Luz,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Prestes Maia,,,,,,,,,,778,01031-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6340261 -23.5379227),Estação da Luz,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6333889 -23.5366037),Estação da Luz,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Prestes Maia,,,,,,,,,,936,01031-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6353771 -23.5361613),Luz,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.708025 -23.5715488),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7080291 -23.571801),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7082955 -23.5715492),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7083934 -23.5717938),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6369432 -23.5990047),Santa Cruz - Linha 1 Azul,,subway_entrance,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shopping,,,
POINT (-46.6623165 -23.6031356),,,subway_entrance,,,,,,,File:Estação Moema • Linha 5 Lilás • entrada secundária • 1.jpg,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6337383 -23.5511263),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7042874 -23.6500135),,,subway_entrance,A,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7040626 -23.6501747),,,subway_entrance,B,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.641014 -23.6255471),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6406284 -23.6257575),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6026586 -23.6012142),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6029865 -23.6015107),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6031575 -23.601759),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7148985 -23.5040538),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,
POINT (-46.7109838 -23.6537267),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7109564 -23.6540298),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7109436 -23.6541414),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7109271 -23.6542413),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7109054 -23.6543725),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7108658 -23.6544982),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6403696 -23.5751856),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6412123 -23.5754539),Estação Paraíso – Acesso à Praça Rodrigues de Abreu,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6405745 -23.5761404),"Paraíso - Linha 1 Azul e 2 Verde - Acesso à Rua Vergueiro, Lado Ímpar",,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6414005 -23.5760952),Paraíso - Linha 1 Azul e 2 Verde - Acesso à Avenida Bernardino de Campos,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6907841 -23.5468427),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
POINT (-46.6342398 -23.5446021),,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Rua São Bento,,,,,,,,,,534,01010-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6877979 -23.6271372),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6778645 -23.5505721),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6780282 -23.5508821),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7079231 -23.5711939),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elevator,,,,,,,,
POINT (-46.6400988 -23.5688235),Metrô Vergueiro,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6394043 -23.618452),Saúde - Linha 1 Azul - Acesso Lado Par,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6620835 -23.5552209),Metrô Paulista,,subway_entrance,,,,,,,File:Estação Paulista (Linha 4) de fora.jpg,,,,,,,,,,,,,São Paulo,Rua da Consolação,,,,,,,,,,2371,01301-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6287788 -23.5250926),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
POINT (-46.6403266 -23.6461711),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6419035 -23.6462392),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6410298 -23.6464419),Acesso à Estação Jabaquara,,subway_entrance,,,,,,Q5244789,,pt:Terminal Intermodal Jabaquara,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7077788 -23.6538592),,,subway_entrance,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7077786 -23.6540965),,,subway_entrance,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6622527 -23.5549109),Metrô Paulista,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,São Paulo,Rua da Consolação,,,,,,,,,,2358,01302-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6352814 -23.5894043),Vila Mariana - Linha 1 Azul - Acesso Avenida Domingos de Morais,,subway_entrance,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6345135 -23.5895291),Vila Mariana - Linha 1 Azul - Acesso ao Terminal de Ônibus,,subway_entrance,,,,,,,,en:Vila Mariana (São Paulo Metro),,https://www.metro.sp.gov.br/sua-viagem/linhas-estacoes/linha-1-azul/estacao-vila-mariana/,yes,,,,,,,,,São Paulo,Av. Prof. Noé Azevedo,,,wlan,,,,,,,,04117040,,,,,,,,,,,,04:40 (4:40 AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6344767 -23.5890742),"Vila Mariana - Linha 1 Azul - Acesso à Avenida Professor Noé Azevedo, Lado Ímpar",,subway_entrance,,,,,,,,en:Vila Mariana (São Paulo Metro),,https://www.metro.sp.gov.br/sua-viagem/linhas-estacoes/linha-1-azul/estacao-vila-mariana/,no,,,,,,,,,São Paulo,Av. Prof. Noé Azevedo,,,wlan,,,,,,,255,,,,,,,,,,,,,04:40 (4:40 AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6348652 -23.5891643),"Vila Mariana - Linha 1 Azul -Acesso à Avenida Professor Noé Azevedo, Lado Par",,subway_entrance,,,,,,,,en:Vila Mariana (São Paulo Metro),,https://www.metro.sp.gov.br/sua-viagem/linhas-estacoes/linha-1-azul/estacao-vila-mariana/,no,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,04:40 (4:40 AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6304812 -23.5928304),Chácara Klabin - Linha 2 Verde,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6210927 -23.595828),Santos-Imigrantes - Linha 2 Verde - Acesso à Avenida Doutor Ricardo Jafet,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6934187 -23.6330488),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6988417 -23.6419472),,,subway_entrance,B,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6878326 -23.6264738),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6928755 -23.6335137),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6991701 -23.6412832),,,subway_entrance,A,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6331263 -23.5365947),,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Rua Florêncio de Abreu,,,,,,,,,,831,01029-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6319506 -23.5312986),,,subway_entrance,,,,,,,,,,,,,,,,,,,,São Paulo,Avenida Tiradentes,,,,,,,,,,500,01102-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6325714 -23.5308601),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6394829 -23.5476608),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.652287 -23.548777),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,
POINT (-46.6524606 -23.5486553),,,subway_entrance,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
POINT (-46.6388494 -23.5617926),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6397895 -23.5688799),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6356386 -23.5552838),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6360048 -23.5551635),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6904677 -23.5464503),,,subway_entrance,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6683345 -23.6104735),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6253909 -23.5162129),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
POINT (-46.6250811 -23.5091307),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
POINT (-46.6250515 -23.5025529),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
POINT (-46.6244336 -23.5026122),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,
POINT (-46.6523547 -23.5975224),AACD - Servidor,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6257265 -23.5162126),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
POINT (-46.6376227 -23.6107466),Praça da Árvore - Linha 1 Azul - Acesso à Praça,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.637659 -23.6108276),Praça da Árvore - Linha 1 Azul - Acesso à Praça,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6376374 -23.6104062),Praça da Árvore - Linha 1 Azul - Acesso Lado Ímpar,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6524837 -23.5978309),AACD - Servidor,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6455405 -23.5981269),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6455678 -23.5983416),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6523656 -23.597405),AACD - Servidor,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saída direta para o AACD Ibirapuera,,,,
POINT (-46.6304927 -23.5924866),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7239884 -23.5862808),,,subway_entrance,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7240219 -23.5866472),,,subway_entrance,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6368941 -23.5980325),,,subway_entrance,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6617987 -23.6035245),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6684694 -23.6097065),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6720699 -23.5607149),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6345513 -23.5365228),Luz,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7239991 -23.5868105),,,subway_entrance,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6925695 -23.6335899),,,subway_entrance,C,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6553333 -23.533756),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6038073 -23.4807864),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7238573 -23.586052),,,subway_entrance,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5005398 -23.6148835),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4706398 -23.5421865),Corinthians- Itaquera,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5081393 -23.606389),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5073846 -23.6064639),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7241491 -23.5861007),,,subway_entrance,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4770297 -23.6118755),,,subway_entrance,,,,,,,,,2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6371936 -23.598159),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5008503 -23.6144384),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Entrada/ Saída C, Terminal",,,,
POINT (-46.5008657 -23.6145426),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4768236 -23.6125223),,,subway_entrance,,,,,,,,,2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5154783 -23.6025421),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5156624 -23.602696),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4879201 -23.6118836),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4875839 -23.6122128),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7148851 -23.5036104),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6356153 -23.5357672),Luz,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6628376 -23.5563136),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7357938 -23.5919507),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrada de metrô,,1,,
POINT (-46.7347318 -23.5935559),,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrada de metrô,,,,
POINT (-46.7368434 -23.5901642),,,subway_entrance,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
