geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.6822684 -23.6187309),Campo Belo,station,station,CPB,subway,yes,,ViaMobilidade Linhas 5 e 17,Q8076578,Category:Campo Belo (São Paulo Metro),pt:Estação Campo Belo,2019-04-08,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7718503 -23.3976784),Mineral,station,station,,,,,,,,,,https://peruspirapora.com.br/,,,,,,,,,,,,,,,,,,,Parada Mineral,,,,,,confirmar posição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.8193835 -23.401639),Santa Fé,,station,,,,,,,,,,https://www.estacoesferroviarias.com.br/s/santafe-efpp.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4773036 -23.6123188),São Mateus,station,station,MAT,,,,Metropolitano de São Paulo,Q19707353,Category:São Mateus (São Paulo Metro),pt:Terminal Intermodal São Mateus (São Paulo),2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4157007 -23.542331),Guaianases,station,station,,,,,Companhia Paulista de Trens Metropolitanos,,,,,,,Companhia Paulista de Trens Metropolitanos,CPTM,yes,CPTM,Q1121227,,,,,,,,,,,,,Guaianazes,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.738797 -23.4551129),Jaraguá,station,station,JRG,,,,TIC Trens,Q8779018,Category:Jaraguá train station,pt:Estação Jaraguá,,,,CPTM,,yes,,,,,,,,,,,,,,,Taipas,,,,,,,,"Folhas Topográficas da CGG-SP, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6082755 -23.5580175),Juventus - Mooca,station,station,,,,Mooca,Companhia Paulista de Trens Metropolitanos,Q10275993,Category:Mooca train station,pt:Estação Juventus-Mooca,,,,,CPTM,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5076143 -23.6065378),Jardim Planalto,station,station,JPL,,,,Metropolitano de São Paulo,Q19707230,Category:Jardim Planalto (São Paulo Metro),pt:Estação Jardim Planalto,,,,,,,,,,,,São Paulo,Avenida Sapopemba,Sapopemba,,yes,,,,,,,10000,03345-001,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4874695 -23.6118178),Fazenda da Juta,station,station,FJT,,,,Metropolitano de São Paulo,Q18475332,Category:Fazenda da Juta (São Paulo Metro),pt:Estação Fazenda da Juta,2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5008307 -23.6147062),Sapopemba,station,station,SAP,,,,Metropolitano de São Paulo,Q48855691,Category:Sapopemba (São Paulo Metro),pt:Estação Sapopemba,2019-12-16,https://www.metro.sp.gov.br/sua-viagem/linhas-estacoes/linha-15-prata/estacao-sapopemba/,yes,,,,,,,,,São Paulo,Avenida Sapopemba,Sapopemba,,,,,,,,,11260,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
