geometry,direction,highway,leisure,natural,access,name,addr:housenumber,addr:street,description,fee,tourism,garden:type,addr:city,gtfs_id,network:short,public_transport:version,route_ref,wheelchair,garden:style,addr:postcode,addr:suburb,opening_hours,operator,operator:type,dog,nohousenumber,park:type,short_name,note,old_name,place,wikidata,wikimedia_commons,wikipedia,barrier,related_law,start_date,surface,internet_access,internet_access:fee,internet_access:operator,operator:wikidata,ownership,phone,website,grass,landuse,name:pt,layer,alt_name,contact:phone,contact:website,official_name,GNS:id,name:en,name:es,source,man_made,contact:email,contact:facebook,contact:twitter,contact:youtube,loc_name,opening_hours:covid19,name:it,name:ja,name:tr,wikipedia:pt,amenity,community_centre,footway,hotspot,toilets:wheelchair,tree,sport,park_type,addr:country,animal,name:etymology:wikidata,foot,is_in:city,is_in:country,is_in:country_code,is_in:iso_3166_2,name:ar,name:fr,name:id,name:ja-Hira,name:ko,name:ru,name:vi,name:zh,wikipedia:en,ele,square,club,location,substation,addr:state,denomination,diocese,email,heritage,heritage:operator,historic,iphan:classification,iphan:inscription_date,iphan:status,iphan:tombo,monastery:type,ref:iphan,religion,parking,owner,owner:wikidata,check_date:opening_hours,disused:garden:type,disused:leisure,postal_code,smoking,check_date,boundary,governance_type,protect_class,protection_title,source:name,addr:full,fax,height,lit,fixme,building,shop,toilets,area:highway,lg_nome,lg_tipo,lg_prep,lg_titulo,level,grassland,official_name:en,park_ride,junction,park,fence_type,related_law:url,abandoned,leaf_type,noname,addr:district,area,width,leaf_cycle,plant,plants,urban,denotation,architect,fitness_station,ruins,heating,proposed:landuse,type,bicycle,horse,name:etymology,old_website,site,traffic_calming,note:2,playground
"POLYGON ((-46.6002655 -23.4564132, -46.600255 -23.4564354, -46.6002485 -23.4564459, -46.6002431 -23.4564477, -46.6001863 -23.456449, -46.6001276 -23.4564447, -46.6000501 -23.4564147, -46.5997759 -23.4564206, -46.599601 -23.4564265, -46.5995932 -23.4564243, -46.5995791 -23.4564181, -46.5995589 -23.4564016, -46.5995359 -23.4563704, -46.5995308 -23.456352, -46.599523 -23.456317, -46.5995018 -23.4562795, -46.5994657 -23.4562619, -46.5994212 -23.4562434, -46.5994042 -23.4562363, -46.5993902 -23.4562303, -46.5993331 -23.456205, -46.5992338 -23.4561592, -46.5991852 -23.456133, -46.5991859 -23.4561309, -46.599196 -23.4561226, -46.5992181 -23.4561137, -46.5992622 -23.4561076, -46.5993276 -23.4561092, -46.5994057 -23.456125, -46.5995013 -23.4561605, -46.5995934 -23.4561869, -46.5996775 -23.4562, -46.5997628 -23.456193, -46.5998358 -23.4561678, -46.599902 -23.4561311, -46.599966 -23.4560642, -46.5999993 -23.4560203, -46.6000052 -23.4560083, -46.6000169 -23.456009, -46.6000302 -23.4559279, -46.6000291 -23.4558781, -46.6000177 -23.4557916, -46.5999816 -23.4556831, -46.599917 -23.4555035, -46.5998708 -23.4553764, -46.5998224 -23.4553107, -46.599784 -23.455276, -46.5997223 -23.4552424, -46.5996448 -23.4552251, -46.5995649 -23.4552156, -46.5994638 -23.455204, -46.5993641 -23.4551962, -46.5993267 -23.4551966, -46.599261 -23.4552059, -46.599212 -23.4552291, -46.5987094 -23.4556786, -46.5987033 -23.4556777, -46.5986965 -23.4556636, -46.59872 -23.4555334, -46.5987659 -23.4551523, -46.5988228 -23.4547338, -46.5988252 -23.4547286, -46.5988269 -23.454727, -46.5989739 -23.4546318, -46.5990035 -23.454672, -46.5990365 -23.4546494, -46.5990533 -23.454664, -46.5991055 -23.4546758, -46.5991565 -23.4546837, -46.5991667 -23.4546852, -46.5992037 -23.454688, -46.5992716 -23.4547423, -46.5988998 -23.4549403, -46.5990317 -23.4551501, -46.5990659 -23.4551313, -46.5993899 -23.4549504, -46.5994482 -23.4549914, -46.5994957 -23.455003, -46.5995432 -23.4550082, -46.599586 -23.4549954, -46.5996108 -23.4549826, -46.5996228 -23.4549715, -46.5996354 -23.4549619, -46.5996479 -23.454951, -46.5996639 -23.4549447, -46.5996782 -23.4549427, -46.5997081 -23.4549471, -46.5997873 -23.4549656, -46.5998087 -23.4550163, -46.5999356 -23.4553196, -46.6000679 -23.4556271, -46.6000863 -23.4557011, -46.6000871 -23.455704, -46.6000824 -23.4558963, -46.6001154 -23.4558984, -46.6001102 -23.4559515, -46.6001083 -23.4559788, -46.6000844 -23.4559771, -46.6000741 -23.456043, -46.6000778 -23.4560433, -46.6000737 -23.4560769, -46.6000691 -23.4561145, -46.6000613 -23.4561791, -46.6000784 -23.456248, -46.6000757 -23.4563351, -46.6000746 -23.4563702, -46.6002629 -23.4564052, -46.6002655 -23.4564132))",,,park,wood,,Praça Casa de Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5819371 -23.4331946, -46.5819188 -23.4332325, -46.5817597 -23.4334011, -46.5816703 -23.433504, -46.5816039 -23.4335724, -46.5815518 -23.4336565, -46.5815074 -23.4336996, -46.581528 -23.4337191, -46.5813025 -23.4339515, -46.5813306 -23.4339788, -46.5813647 -23.4340118, -46.5813915 -23.4340377, -46.5814363 -23.4340812, -46.5814782 -23.4341218, -46.5814394 -23.434163, -46.5814261 -23.4341508, -46.5814008 -23.4341278, -46.5813544 -23.4340855, -46.5813386 -23.4340711, -46.5812584 -23.4339979, -46.5810578 -23.4341904, -46.5810202 -23.4341499, -46.5819371 -23.4331946))",,,park,wood,,Praça Tetsuo Okamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6726551 -23.4760229, -46.6725314 -23.476085, -46.6725961 -23.4759368, -46.6726551 -23.4760229))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6726588 -23.476949, -46.6726003 -23.4769845, -46.6725268 -23.4767808, -46.6725701 -23.4767482, -46.6725913 -23.4767657, -46.6726588 -23.476949))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6725368 -23.4766235, -46.6725563 -23.4766493, -46.672533 -23.4766708, -46.6725002 -23.4766838, -46.6724678 -23.4766496, -46.6724449 -23.4765832, -46.6724006 -23.4765003, -46.6722552 -23.4763312, -46.6721224 -23.4761866, -46.671978 -23.4760723, -46.6718036 -23.4759559, -46.671529 -23.4758128, -46.6714388 -23.4757668, -46.6714514 -23.4757372, -46.6714737 -23.4757353, -46.6715783 -23.4757876, -46.6717142 -23.475857, -46.6718659 -23.4759315, -46.6720055 -23.4760186, -46.6720817 -23.4760784, -46.6721999 -23.476176, -46.6722968 -23.4762799, -46.6723773 -23.4763702, -46.6724283 -23.4764488, -46.6724728 -23.4765192, -46.6725058 -23.4765645, -46.6725368 -23.4766235))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6772917 -23.4775034, -46.6771404 -23.4774325, -46.6771769 -23.4773756, -46.6772827 -23.4773732, -46.6772917 -23.4775034))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7060003 -23.4982104, -46.7056834 -23.498185, -46.7053142 -23.4981382, -46.7053423 -23.4980335, -46.705472 -23.4978895, -46.7057807 -23.4980729, -46.7060003 -23.4982104))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6928936 -23.6086753, -46.6929429 -23.6088203, -46.6929433 -23.6088225, -46.6929432 -23.6088239, -46.6929423 -23.6088284, -46.6929416 -23.6088302, -46.6929415 -23.6088304, -46.6929386 -23.6088335, -46.6929354 -23.6088362, -46.6928262 -23.6088914, -46.6927012 -23.6089528, -46.6926989 -23.6089536, -46.6926976 -23.6089539, -46.6926963 -23.6089541, -46.6926949 -23.608954, -46.6926936 -23.6089537, -46.6926924 -23.6089532, -46.6926913 -23.6089527, -46.6926905 -23.6089521, -46.6925956 -23.6088476, -46.6924957 -23.6087375, -46.6923198 -23.6085467, -46.6923096 -23.6085345, -46.692308 -23.6085323, -46.6925095 -23.6083697, -46.6925665 -23.6083241, -46.6925854 -23.6083102, -46.6926059 -23.6082984, -46.6926375 -23.6082838, -46.6926646 -23.6082722, -46.6926817 -23.6082667, -46.6926908 -23.6082647, -46.6926968 -23.6082638, -46.6927046 -23.6082636, -46.6927188 -23.6082645, -46.6927219 -23.6082648, -46.6927262 -23.6082654, -46.6927303 -23.6082664, -46.6927342 -23.6082676, -46.6927381 -23.6082691, -46.6927418 -23.6082709, -46.6927453 -23.608273, -46.6927486 -23.6082753, -46.6927517 -23.6082779, -46.6927546 -23.6082806, -46.6927572 -23.6082836, -46.6927596 -23.6082868, -46.6927611 -23.6082892, -46.6927655 -23.6082995, -46.6928175 -23.6084514, -46.6928936 -23.6086753))",,,park,,,Praça Lions Monções,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6872897 -23.5883683, -46.6872065 -23.5883117, -46.6871394 -23.5882859, -46.6870684 -23.5882921, -46.6870228 -23.5883277, -46.6870335 -23.588694, -46.6870174 -23.5887333, -46.6869839 -23.5887726, -46.6870885 -23.5887898, -46.6871931 -23.5887825, -46.6872816 -23.588764, -46.6873207 -23.5887455, -46.6872825 -23.5887184, -46.6872342 -23.5886871, -46.6872114 -23.5886146, -46.6872147 -23.5885697, -46.6872543 -23.5885169, -46.6872992 -23.5884935, -46.6873515 -23.5884861, -46.6874533 -23.5884654, -46.6872897 -23.5883683))",,,park,,,Praça Gioia Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6766635 -23.4756902, -46.6765577 -23.4755749, -46.6768018 -23.4754297, -46.6766635 -23.4756902))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7823815 -23.4176254, -46.781896 -23.4172347, -46.7810407 -23.4174172, -46.7801589 -23.4179074, -46.779639 -23.4182333, -46.7788243 -23.4187463, -46.7781336 -23.4191564, -46.7745478 -23.4185599, -46.7724513 -23.4227098, -46.7699614 -23.4256047, -46.766913 -23.4260744, -46.76602 -23.4257452, -46.7652226 -23.4248924, -46.7641103 -23.4246127, -46.7638106 -23.4244776, -46.763511 -23.4239556, -46.7641204 -23.4238717, -46.7642627 -23.4235968, -46.7639224 -23.4226973, -46.7633637 -23.4226693, -46.7622869 -23.4231494, -46.7617587 -23.4230468, -46.761586 -23.4234569, -46.7617181 -23.423662, -46.7616978 -23.4238391, -46.7620736 -23.4239463, -46.762358 -23.424375, -46.762226 -23.4244776, -46.7625658 -23.4250507, -46.7635206 -23.4259408, -46.7644145 -23.4257078, -46.7643622 -23.4254016, -46.7648701 -23.4254249, -46.7650682 -23.4259888, -46.7647381 -23.426329, -46.7646009 -23.4267065, -46.7650428 -23.4268556, -46.7654344 -23.4264789, -46.7659829 -23.4266234, -46.7658509 -23.4269915, -46.7665582 -23.4272282, -46.7661388 -23.4286093, -46.7666822 -23.428805, -46.7664627 -23.4293848, -46.7684012 -23.4301107, -46.7690188 -23.4300531, -46.7698822 -23.4306869, -46.7706948 -23.4304539, -46.7711279 -23.4299582, -46.7718382 -23.4297273, -46.7722673 -23.4293834, -46.7735398 -23.429492, -46.7736927 -23.4291209, -46.7725385 -23.4288765, -46.7724004 -23.4283289, -46.7726273 -23.4279397, -46.7725829 -23.4276682, -46.7728641 -23.4274827, -46.7736631 -23.4277587, -46.7755788 -23.4273133, -46.7756183 -23.4280374, -46.7752582 -23.4286439, -46.774987 -23.4287344, -46.7751818 -23.429064, -46.7755689 -23.4291243, -46.776406 -23.4287735, -46.7769141 -23.4288504, -46.7777169 -23.4301779, -46.7782609 -23.4304565, -46.7781903 -23.4308241, -46.7777711 -23.4307752, -46.7776971 -23.4310513, -46.7778796 -23.4316532, -46.7774209 -23.431893, -46.7775245 -23.4321057, -46.7798969 -23.4318252, -46.7800386 -23.4316168, -46.779956 -23.4310885, -46.7802608 -23.4301065, -46.7808494 -23.4299367, -46.7809357 -23.4296862, -46.780519 -23.4296246, -46.7801358 -23.4293741, -46.7801262 -23.4289434, -46.7806962 -23.4284293, -46.7811177 -23.4283897, -46.7812566 -23.4284688, -46.7814865 -23.4282974, -46.7819654 -23.4282623, -46.7820948 -23.4275415, -46.7833544 -23.4276294, -46.7835604 -23.4274888, -46.7840824 -23.4248047, -46.7842453 -23.4239333, -46.7832299 -23.4229401, -46.7835268 -23.4216612, -46.7846859 -23.4211865, -46.7850106 -23.4187836, -46.7830196 -23.4181723, -46.7823815 -23.4176254))",,,park,wood,,Parque Anhanguera,1000,Avenida Fortunata Tadiello Natucci,,,,,São Paulo,,,,,,,,Anhanguera,,Secretaria do Verde e do Meio Ambiente,government,,,city_park,,,,,Q10344873,Category:Parque Anhanguera (São Paulo),pt:Parque Anhanguera (São Paulo),,,1979,,,,,Q10369239,municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6984752 -23.4749977, -46.6982461 -23.4747357, -46.6981268 -23.474606, -46.6980818 -23.4745395, -46.6980553 -23.4744211, -46.6980795 -23.4742192, -46.6982214 -23.4745777, -46.698361 -23.4748069, -46.6984752 -23.4749977))",,,park,,,Praça Luiza Mahin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7272556 -23.4867345, -46.7272873 -23.4867144, -46.7273242 -23.4867037, -46.7273483 -23.4867027, -46.7273736 -23.4867057, -46.7274029 -23.4867156, -46.7274288 -23.4867323, -46.7274483 -23.4867534, -46.7274596 -23.4867719, -46.7274666 -23.4867902, -46.72747 -23.4868068, -46.7274706 -23.4868267, -46.7274673 -23.4868486, -46.7274581 -23.4868716, -46.7274435 -23.4868928, -46.7274171 -23.4869156, -46.727384 -23.4869311, -46.7273481 -23.4869373, -46.7273138 -23.4869343, -46.7272803 -23.4869221, -46.7272518 -23.486902, -46.7272306 -23.4868757, -46.727218 -23.4868462, -46.727215 -23.4868157, -46.7272199 -23.4867878, -46.7272319 -23.4867617, -46.7272556 -23.4867345))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6386527 -23.5032409, -46.6386372 -23.5032377, -46.638493 -23.5032147, -46.6384288 -23.503206, -46.6383586 -23.5031999, -46.6383382 -23.5031984, -46.6383688 -23.5031504, -46.6384063 -23.5031027, -46.6384282 -23.5031116, -46.6384928 -23.5031474, -46.6385271 -23.5031685, -46.6386527 -23.5032409))",,,park,,,Praça Coronel Hélio Franco Chaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6725216 -23.5037553, -46.6725307 -23.5039636, -46.6724895 -23.5039773, -46.6723362 -23.5038992, -46.6722685 -23.5037773, -46.6722548 -23.5037139, -46.6722608 -23.5036557, -46.6722895 -23.5036182, -46.6723266 -23.503595, -46.6723917 -23.5035904, -46.672442 -23.5035859, -46.6725095 -23.503602, -46.6725257 -23.5036558, -46.6725216 -23.5037553))",,,park,,,Praça Professor Francisco D'auria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7072749 -23.5178378, -46.7072749 -23.5178383, -46.7070598 -23.5179394, -46.707055 -23.5179398, -46.7070516 -23.5179392, -46.7070501 -23.5179382, -46.7070497 -23.5179377, -46.7070492 -23.5179349, -46.707049 -23.5179292, -46.7070499 -23.5179264, -46.707053 -23.5179207, -46.7071549 -23.5177743, -46.7071586 -23.5177706, -46.7071617 -23.5177705, -46.7071799 -23.517777, -46.7072749 -23.5178378))",,,park,,,Praça René Barreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7287059 -23.5401494, -46.7287747 -23.5400586, -46.7288591 -23.5399665, -46.7288887 -23.5399661, -46.7289199 -23.5399808, -46.7291796 -23.540197, -46.7292726 -23.5403048, -46.7292954 -23.5403549, -46.729274 -23.5404082, -46.7291457 -23.5405362, -46.7289442 -23.5406904, -46.7286713 -23.5404764, -46.7286329 -23.5403659, -46.7286566 -23.5402457, -46.7287059 -23.5401494))",,,park,,,Praça Apecatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7281251 -23.5397326, -46.728374 -23.5401595, -46.7286999 -23.5398516, -46.7282922 -23.5396352, -46.7279607 -23.5394407, -46.7281251 -23.5397326))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7304291 -23.5387742, -46.7304326 -23.5387498, -46.7304121 -23.5387319, -46.730379 -23.5387352, -46.7303146 -23.5387057, -46.7302567 -23.5386439, -46.73027 -23.5386202, -46.7302522 -23.5386079, -46.7299326 -23.5389317, -46.7295368 -23.5392811, -46.7289441 -23.5398146, -46.7289388 -23.5398417, -46.7290334 -23.5398978, -46.7291882 -23.5400179, -46.7292992 -23.5401293, -46.7294012 -23.5402515, -46.7294295 -23.5402401, -46.7298265 -23.5396303, -46.7301335 -23.5391593, -46.7304291 -23.5387742))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7295572 -23.5403595, -46.7295592 -23.5402747, -46.7296217 -23.5401791, -46.7300912 -23.5394068, -46.7302132 -23.5392089, -46.730241 -23.5391921, -46.7302457 -23.53922, -46.7301965 -23.5393964, -46.7300441 -23.5400961, -46.7298481 -23.540979, -46.7297476 -23.5408449, -46.7295206 -23.5404609, -46.7295572 -23.5403595))",,,park,,,Praça Doutor Mário Saad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7180832 -23.5222618, -46.7180236 -23.522447, -46.7179119 -23.5222945, -46.7180832 -23.5222618))",,,park,,,Praça do Comerciante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7172728 -23.5219632, -46.7171803 -23.5219378, -46.7170806 -23.5219088, -46.7170189 -23.5218898, -46.7170564 -23.5218732, -46.717098 -23.5218522, -46.7171303 -23.521834, -46.7171569 -23.5218182, -46.7171835 -23.5217994, -46.717203 -23.5217857, -46.7172091 -23.5217809, -46.7172189 -23.5218194, -46.7172308 -23.5218581, -46.7172503 -23.5219145, -46.7172726 -23.5219628, -46.7172728 -23.5219632))",,,park,,,Praça Doutor Oswaldo Dal Bello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7164047 -23.5237226, -46.7163401 -23.523689, -46.7162943 -23.5236354, -46.7162744 -23.5235698, -46.7162834 -23.5235022, -46.71632 -23.5234429, -46.7163785 -23.5234009, -46.71645 -23.5233827, -46.7165238 -23.5233909, -46.7165884 -23.5234245, -46.7166342 -23.5234781, -46.7166541 -23.5235437, -46.7166451 -23.5236113, -46.7166085 -23.5236706, -46.71655 -23.5237126, -46.7164785 -23.5237308, -46.7164047 -23.5237226))",,,park,,,Praça Aritiquiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.711706 -23.5241863, -46.7118109 -23.5242678, -46.7117541 -23.5242712, -46.7116825 -23.5242834, -46.7116979 -23.5242342, -46.711706 -23.5241863))",,,park,,,Praça Samuel Pinkas Rappaport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7120981 -23.5210939, -46.7120958 -23.5212153, -46.7120936 -23.521216, -46.7120911 -23.5212163, -46.7120905 -23.5212162, -46.7120679 -23.5212034, -46.7120394 -23.5211881, -46.7120296 -23.521184, -46.7120386 -23.5211733, -46.7120806 -23.521121, -46.7120981 -23.5210939))",,,park,,,Praça Comendador Irineu Tadakazu Egute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7123195 -23.5206245, -46.7122363 -23.5207032, -46.7122067 -23.5207302, -46.712193 -23.5206792, -46.7121084 -23.5205708, -46.7123195 -23.5206245))",,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6845704 -23.5803947, -46.6847887 -23.5800881, -46.6850076 -23.579785, -46.6838819 -23.579046, -46.6834165 -23.5796539, -46.6843202 -23.5802373, -46.6845704 -23.5803947))",,,garden,,,Solar Fábio Prado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
