preco,condominio,iptu,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
3900.0,800.0,300.0,Alameda Lorena,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-45m2-id-2853401425/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Jardim Paulista,Flat,86.66666666666667,"Alameda Lorena, Jardim Paulista, São Paulo, SP, Brasil",-23.5657118,-46.6638687,rua_bairro
2800.0,1200.0,250.0,Rua Brás Cardoso,"Flat para alugar com 45 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,45.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-45m2-id-2830290577/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Vila Nova Conceição,Flat,62.22222222222222,"Vila Nova Conceição, São Paulo, SP, Brasil",,,falhou
7200.0,950.0,350.0,Rua Kansas,"Flat para alugar com 66 m², 1 quarto, 1 banheiro, 1 vaga emBrooklin Paulista, São Paulo",1.0,1,66.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-brooklin-paulista-sao-paulo-66m2-id-2853399891/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Brooklin Paulista,Flat,109.0909090909091,"Brooklin Paulista, São Paulo, SP, Brasil",,,falhou
3700.0,540.0,,Rua Bela Cintra,"Apartamento para alugar com 50 m², 1 quarto, 1 banheiro emConsolação, São Paulo",1.0,1,50.0,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-com-acesso-24-horas-consolacao-sao-paulo-50m2-id-2779123063/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,,Consolação,Apartamento,74.0,"Rua Bela Cintra, Consolação, São Paulo, SP, Brasil",-23.5544191,-46.6595673,rua_bairro
3905.0,1800.0,195.0,Rua Bandeira Paulista,"Flat para alugar com 42 m², 1 quarto, 1 banheiro, 1 vaga emItaim Bibi, São Paulo",1.0,1,42.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-itaim-bibi-sao-paulo-42m2-id-2853835202/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Itaim Bibi,Flat,92.97619047619048,"Rua Bandeira Paulista, Itaim Bibi, São Paulo, SP, Brasil",-23.5815268,-46.6766371,rua_bairro
3865.0,1270.0,565.0,Rua Alvorada,"Flat para alugar com 52 m², 2 quartos, 1 banheiro, 1 vaga emVila Olímpia, São Paulo",2.0,1,52.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-2-quartos-mobiliado-vila-olimpia-sao-paulo-52m2-id-2853403833/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Vila Olímpia,Flat,74.32692307692308,"Rua Alvorada, Vila Olímpia, São Paulo, SP, Brasil",-23.6007823,-46.6822431,rua_bairro
2900.0,1235.0,365.0,Alameda Jaú,"Flat para alugar com 35 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,35.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-35m2-id-2836932922/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Jardim Paulista,Flat,82.85714285714286,"Alameda Jaú, Jardim Paulista, São Paulo, SP, Brasil",-23.5687324,-46.6517132,rua_bairro
5060.0,1420.0,520.0,Rua Diogo Jácome,"Flat para alugar com 48 m², 1 quarto, 1 banheiro, 1 vaga emVila Nova Conceição, São Paulo",1.0,1,48.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-vila-nova-conceicao-sao-paulo-48m2-id-2853401053/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Vila Nova Conceição,Flat,105.41666666666667,"Vila Nova Conceição, São Paulo, SP, Brasil",,,falhou
2900.0,1300.0,300.0,Alameda Joaquim Eugênio de Lima,"Flat para alugar com 47 m², 1 quarto, 1 banheiro, 1 vaga emJardim Paulista, São Paulo",1.0,1,47.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-jardim-paulista-sao-paulo-47m2-id-2853836376/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Jardim Paulista,Flat,61.702127659574465,"Alameda Joaquim Eugênio de Lima, Jardim Paulista, São Paulo, SP, Brasil",-23.5710111,-46.6556779,rua_bairro
2900.0,1400.0,200.0,Rua Carlos Sampaio,"Flat para alugar com 55 m², 1 quarto, 1 banheiro, 1 vaga emBela Vista, São Paulo",1.0,1,55.0,https://www.zapimoveis.com.br/imovel/aluguel-flat-1-quarto-mobiliado-bela-vista-sao-paulo-55m2-id-2777211417/?source=ranking%2Crp,sao-paulo,sp,2026-03-13 16:11:19,1.0,Bela Vista,Flat,52.72727272727273,"Rua Carlos Sampaio, Bela Vista, São Paulo, SP, Brasil",-23.5678014,-46.6463745,rua_bairro
