geometry,amenity,name,addr:housenumber,addr:postcode,addr:street,source,source_ref,postal_code,addr:city,addr:suburb,ele,operator,name:pt,phone,building,alt_name,operator:type,owner,ownership,short_name,website,wikipedia,internet_access,name:en,wikidata,building:levels,contact:facebook,network,training,type,tipo_escola,geometry_std
POINT (-50.1835028 -25.0888669),school,Escola Municipal Professor Nelson Pereira Jorge,228,84020-320,Rua Paes de Andrade,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1835028 -25.0888669)
POINT (-50.0904201 -25.093372),school,Escola Estadual Padre Pedro Grzelczaki,,,Avenida Guilherme Augusto Jansen,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84030-550,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.0904201 -25.093372)
POINT (-50.2026615 -25.0925264),school,Escola Estadual Edson Pietrobelli,,,Rua Cinamomo,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84061-360,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2026615 -25.0925264)
POINT (-50.1783371 -25.127085),school,Escola Estadual Alberto Rebello Valente,78,84046-015,Rua Doutor Nilton Luiz de Castro,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1783371 -25.127085)
POINT (-50.2056875 -25.1182842),school,Escola Osni Villaca Mongruel,,,Rua Papoula,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84060-060,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.2056875 -25.1182842)
POINT (-50.1555992 -25.1138666),college,Colégio Estadual Professor Colares,,,Avenida Visconde de Mauá,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84045-000,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1555992 -25.1138666)
POINT (-50.1260899 -25.0881292),school,Escola Municipal Prefeito José Hoffmann,262,84030-060,Rua Felix Pacheco,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1260899 -25.0881292)
POINT (-50.1881765 -25.1566075),school,Escola Municipal Doutor Ávaro Faria da Rocha,332,,Rua Bernardo Guimarães,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1881765 -25.1566075)
POINT (-50.1654523 -25.1053973),college,Instituto de Educação Professor César Prieto Marti,636,84050-000,Rua Doutor Joaquim de Paula Xavier,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.1654523 -25.1053973)
POINT (-50.1388669 -25.0982371),school,Escola Municipal Professora Kazuko Inoue,650,84025-490,Rua Bituruna,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1388669 -25.0982371)
